,buy_time,comment_time,days,color,size,content,score,sentiment
146,2021-11-10 20:51:53,2021-11-18 19:09:34,8,金色,M1 8G 256G 标配,电脑成色全新，经过一个礼拜使用观察没有任何问题，价廉物美的购物体验，给店家点赞，给手机满分好评。,5,1
147,2021-11-10 20:30:53,2021-11-18 19:02:50,8,金色,M1 8G 256G 标配,发货速度快，包装严实无瑕疵，性价比不错,5,1
148,2021-11-10 20:22:06,2021-11-18 18:22:20,8,金色,M1 8G 256G 标配,电脑收到了，已经开始使用了，效果很不错哦很流畅，价格也实惠,5,1
149,2021-11-10 21:01:03,2021-11-18 18:04:43,8,金色,M1 8G 256G 标配,送小朋友毕业礼物感觉有点奢侈的说，不过双十一大卖还是出手了。苹果品质没得话说真心棒棒哒。关键是双十一物流也很快，服务到家，京东大物流名不虚传。,5,1
150,2021-11-10 20:39:06,2021-11-18 17:31:06,8,金色,M1 8G 256G 标配,虽然是双十一但快递还是很给力，隔了几天就收到了。电脑运行速度杠杠的，显示效果十分细腻。打游戏特别棒,5,1
151,2021-11-05 00:21:18,2021-11-18 17:00:20,13,金色,M1 8G 256G 标配,电脑运行速度快，高清亮丽操作简单,5,1
152,2021-11-10 20:22:44,2021-11-18 16:55:19,8,金色,M1 8G 256G 标配,电脑已经收到了质量不错，运行速度很快，满意！,5,1
153,2021-11-10 20:13:49,2021-11-18 16:43:50,8,金色,M1 8G 256G 标配,电脑很快，非常好用,5,1
154,2021-11-10 20:15:43,2021-11-18 16:39:06,8,金色,M1 8G 256G 标配,玩游戏一点也不卡。很满意。好评。,5,1
155,2021-11-10 20:15:01,2021-11-18 16:37:44,8,金色,M1 8G 256G 标配,分辨率很高，比国产的好太多了,5,1
156,2021-11-10 20:31:20,2021-11-18 16:36:15,8,金色,M1 8G 256G 标配,客服态度很好。发货也很快。好评。,5,1
157,2021-11-10 20:29:11,2021-11-18 16:35:13,8,金色,M1 8G 256G 标配,双11买的，很便宜，性价比很高。,5,1
158,2021-11-10 20:34:25,2021-11-18 16:34:29,8,金色,M1 8G 256G 标配,是正品，很好用。很满意的一次购物。,5,1
159,2021-11-10 20:59:51,2021-11-18 16:23:44,8,金色,M1 8G 256G 标配,买来给媳妇用的，正品完美。,5,1
160,2021-11-10 20:53:52,2021-11-18 16:22:40,8,金色,M1 8G 256G 标配,苹果的东西就是好用，正品完美,5,1
161,2021-11-10 20:45:27,2021-11-18 16:18:43,8,金色,M1 8G 256G 标配,用起来很顺手，运行速度快，屏幕看上去色彩舒适，平时上上网听听音乐绰绰有余，携带也方便，很满意。,5,1
162,2021-11-10 20:19:30,2021-11-18 16:15:41,8,金色,M1 8G 256G 标配,"这款笔记本的颜值很棒,非常的漂亮，属于轻便型的电脑，配置很高，立体声，不管是音乐看电影游戏都很满意",5,1
163,2021-11-10 20:18:05,2021-11-18 14:40:04,8,金色,M1 8G 256G 标配,发货速度挺快的，很好用，和手机连接方便，软件运行速度快，很好用。,5,1
164,2021-11-10 20:14:33,2021-11-18 14:38:02,8,金色,M1 8G 256G 标配,发货速度很快，电脑很好用，使用起来很方便，和电脑无缝连接，散热也好。,5,1
165,2021-11-10 20:53:54,2021-11-18 14:33:53,8,金色,M1 8G 256G 标配,颜值高，开机速度快，运行流畅，大品牌就是不一样。,5,1
166,2021-11-10 22:00:49,2021-11-18 14:24:19,8,金色,M1 8G 256G 标配,是正品，大活动买的很划算。,5,1
167,2021-11-10 20:27:09,2021-11-18 14:23:33,8,金色,M1 8G 256G 标配,物流很快，在直播间抢的，电脑很喜欢，是很漂亮的白色。,5,1
168,2021-11-10 20:14:13,2021-11-18 14:21:01,8,金色,M1 8G 256G 标配,质量很好，做工精细，运行速度很快，效果不错，性价比很高，满意。,5,1
169,2021-11-09 12:03:58,2021-11-18 13:46:19,9,金色,M1 8G 256G 标配,是正品的，运行速度很快，屏幕清晰度高，很好用,5,1
170,2021-11-10 20:21:15,2021-11-18 13:23:08,8,金色,M1 8G 256G 标配,正品无疑，信赖京东，好评,5,1
171,2021-11-10 20:35:18,2021-11-18 13:04:14,8,金色,M1 8G 256G 标配,推荐，优惠实用建议大家购买,5,1
172,2021-11-09 12:07:01,2021-11-18 12:30:18,9,金色,M1 8G 256G 标配,双11就是好，活动价格便宜，哈哈，性价比高,5,1
173,2021-11-10 20:25:58,2021-11-18 11:45:32,8,金色,M1 8G 256G 标配,运行速度很快，苹果电脑就是好用，系统很流畅不卡顿，设计上档次好看。,5,1
174,2021-11-10 20:41:16,2021-11-18 11:31:18,8,金色,M1 8G 256G 标配,物流快，运行快，跟实体店一样，还是喜欢在网上买，还能便宜点，服务很好,5,1
175,2021-11-10 20:25:30,2021-11-18 11:30:56,8,金色,M1 8G 256G 标配,发货速度很快包装严实,5,1
176,2021-11-05 10:11:07,2021-11-18 10:59:07,13,金色,M1 8G 256G 标配,运行速度快，屏幕清晰，散热性能好，外观精致，轻薄度正好,5,1
177,2021-11-10 23:15:33,2021-11-18 10:49:54,8,金色,M1 8G 256G 标配,笔记本收到了，试一下好用，速度特别快，玩什么都不卡,5,1
178,2021-11-10 20:33:17,2021-11-18 10:21:52,8,金色,M1 8G 256G 标配,苹果笔记本做工细腻，重量轻便，出差的好伴侣，续航很棒，发热程度处理得很优秀，运行比上一台快多了，物流超级快，很满意，推荐购买的一款,5,1
179,2021-11-10 20:20:52,2021-11-18 09:10:31,8,金色,M1 8G 256G 标配,挺好的一部机器，真心不错。,5,1
180,2021-11-09 12:04:50,2021-11-18 08:47:35,9,金色,M1 8G 256G 标配,运行速度快，性价比高，很满意,5,1
181,2021-11-10 20:48:19,2021-11-18 08:31:46,8,金色,M1 8G 256G 标配,系统稳定，轻便好用！,5,1
182,2021-11-10 20:39:48,2021-11-18 00:10:09,8,金色,M1 8G 256G 标配,电脑屏幕尺寸大小适宜画面很清晰,5,1
183,2021-11-10 23:17:35,2021-11-17 23:32:47,7,金色,M1 8G 256G 标配,机身超薄的感觉真是大爱，开机初次13s左右。整体测评基本都在理想之中，屏幕的尺寸大小基本满足使用要求，高清的画质感很棒。,5,1
184,2021-11-05 16:00:40,2021-11-17 23:30:15,12,金色,M1 8G 256G 标配,机子的整体测评还是特别满意的，电池也是刚激活刚需第一次用，基本送的配件都齐全，毕竟是苹果的，另外附带开了发票有售后保障，顺带去线下体验店测了一下没有翻车。,5,0
185,2021-11-05 00:04:15,2021-11-17 23:22:57,12,金色,M1 8G 256G 标配,宝贝很新，外观靓丽，很薄，小巧，便于携带。看电影和电视剧一点都不卡，画面清晰，音质明亮，办公炒股啥的更是不在话下，真是一次愉快的购物！,5,1
186,2021-11-10 20:23:17,2021-11-17 22:37:23,7,金色,M1 8G 256G 标配,京东上购买正品的笔记本特别棒，很喜欢，很满意的，非常好,5,1
