,buy_time,comment_time,days,color,size,content,score,sentiment
260,2021-09-14 16:45:36,2021-09-17 11:52:13,3,14英寸,【7nm】2021 E14|R5|16G|512GSSD,总体还是很不错的，可玩lol，不玩游戏续航很长,5,1
261,2021-09-14 21:44:16,2021-09-23 23:03:50,9,14英寸,【7nm】2021 E14|R5|16G|512GSSD,新电脑不错，希望质量靠谱,5,1
262,2021-09-25 11:08:18,2021-10-07 15:33:20,12,14英寸,【7nm】2021 E14|R5|16G|512GSSD,不错的电脑12355,5,1
263,2021-09-15 16:36:13,2021-09-24 21:27:37,9,14英寸,【7nm】2021 E14|R5|16G|512GSSD,用起来很流畅，好评满满,5,1
264,2021-09-21 00:00:23,2021-09-22 14:00:18,1,14英寸,【7nm】2021 E14|R5|16G|512GSSD,比较适合办公，携带方便，比旧电脑好太多了,5,1
265,2021-09-21 17:18:30,2021-10-09 00:02:14,18,14英寸,【7nm】2021 E14|R5|16G|512GSSD,好用运行速度：好 屏幕效果：挺好,5,1
266,2021-09-19 13:11:00,2021-10-21 15:08:54,32,14英寸,【7nm】2021 E14|R5|16G|512GSSD,用着很好，物流也很快，值得购买。,5,1
267,2021-09-21 08:49:30,2021-11-14 20:42:14,54,14英寸,【7nm】2021 E14|R5|16G|512GSSD,帮人买的，先占位，后面再评,5,1
268,2021-11-17 11:03:54,2021-12-09 13:16:43,22,14英寸,【7nm】2021 E14|R5|16G|512GSSD,一直都在用这个品牌，,5,1
269,2021-08-18 15:45:43,2021-08-21 14:59:03,3,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,性能挺快的，散热效果不错，速度也行，就是有点重，但是重的都是好东西，总体来说还是不错的,5,1
270,2021-09-21 00:01:33,2021-09-22 21:39:43,1,14英寸,【7nm】2021 E14|R5|16G|512GSSD,非常nice！客服很好，电脑也很合适！,5,1
271,2021-09-17 17:39:21,2021-09-20 03:28:47,3,14英寸,【7nm】2021 E14|R5|16G|512GSSD,散热效果还不错，没有噪音，运行速度也快,5,1
272,2021-11-29 22:20:41,2021-11-30 15:23:46,1,14英寸,【7nm】2021 E14|R5|16G|512GSSD,超级安静，速度也可以,5,1
273,2021-11-26 08:29:01,2021-11-27 19:37:08,1,14英寸,【7nm】2021 E14|R5|16G|512GSSD,就是没有鼠标和电脑包,5,1
274,2021-08-10 16:56:34,2021-09-17 11:34:25,38,14英寸,【7nm】2021 E14|R5|16G|512GSSD,同等配置性价比高，使用流畅，还会关注,5,1
